lon,lat
-112.53529411764707, 41.0098814229249
-112.53529411764707, 40.990118577075094
-112.53529411764707, 40.97430830039526
-112.5326797385621, 40.95454545454545
-112.51176470588236, 40.94268774703557
-112.48823529411766, 40.94268774703557
-112.47516339869281, 40.918972332015805
-112.46209150326798, 40.89525691699605
-112.45424836601308, 40.883399209486164
-112.44640522875818, 40.86758893280632
-112.44640522875818, 40.84584980237154
-112.43856209150327, 40.826086956521735
-112.4281045751634, 40.81027667984189
-112.40718954248366, 40.80039525691699
-112.3888888888889, 40.78656126482213
-112.3732026143791, 40.77272727272727
-112.3732026143791, 40.750988142292485
-112.37058823529412, 40.73122529644269
-112.37058823529412, 40.71343873517786
-112.36535947712419, 40.69565217391304
-112.34967320261438, 40.68379446640316
-112.32614379084968, 40.69565217391304
-112.30522875816995, 40.70750988142292
-112.28169934640523, 40.719367588932805
-112.25816993464053, 40.73122529644269
-112.23202614379086, 40.741106719367586
-112.20849673202615, 40.747035573122524
-112.18758169934641, 40.76086956521739
-112.17973856209152, 40.77470355731225
-112.16928104575165, 40.78853754940711
-112.15882352941178, 40.812252964426875
-112.1562091503268, 40.83201581027668
-112.16666666666667, 40.85375494071146
-112.17973856209152, 40.86363636363636
-112.19019607843138, 40.873517786561266
-112.20326797385621, 40.887351778656125
-112.21633986928106, 40.905138339920946
-112.22941176470589, 40.92885375494071
-112.2372549019608, 40.94664031620553
-112.24248366013073, 40.966403162055336
-112.24248366013073, 40.984189723320156
-112.2372549019608, 41
-112.24248366013073, 41.01778656126482
-112.2529411764706, 41.0296442687747
-112.25816993464053, 41.04347826086956
-112.25032679738563, 41.059288537549406
-112.23202614379086, 41.07114624505929
-112.21111111111112, 41.06324110671937
-112.18496732026145, 41.059288537549406
-112.16928104575165, 41.04347826086956
-112.15882352941178, 41.02569169960474
-112.14575163398693, 41.011857707509876
-112.13006535947713, 40.99604743083004
-112.12222222222223, 40.984189723320156
-112.1248366013072, 40.972332015810274
-112.11176470588236, 40.96047430830039
-112.1013071895425, 40.94664031620553
-112.09346405228759, 40.93083003952569
-112.08300653594772, 40.91699604743083
-112.06209150326798, 40.90711462450593
-112.03856209150328, 40.90909090909091
-112.01764705882354, 40.915019762845844
-111.99411764705883, 40.922924901185766
-112.0045751633987, 40.92885375494071
-112.02549019607844, 40.92885375494071
-112.04640522875818, 40.93280632411067
-112.05947712418302, 40.94268774703557
-112.06470588235295, 40.96442687747035
-112.07516339869282, 40.976284584980235
-112.09346405228759, 40.98221343873517
-112.10392156862746, 40.99209486166008
-112.09869281045752, 41.0098814229249
-112.09346405228759, 41.02173913043478
-112.10653594771243, 41.04347826086956
-112.12222222222223, 41.059288537549406
-112.140522875817, 41.07509881422925
-112.16143790849674, 41.08102766798419
-112.18496732026145, 41.08893280632411
-112.19019607843138, 41.10079051383399
-112.19281045751634, 41.11660079051383
-112.20849673202615, 41.13241106719367
-112.23202614379086, 41.14229249011858
-112.24771241830067, 41.154150197628454
-112.2607843137255, 41.17193675889328
-112.26601307189543, 41.1897233201581
-112.28431372549021, 41.20355731225296
-112.30261437908497, 41.21343873517786
-112.31568627450982, 41.22134387351778
-112.33398692810458, 41.233201581027664
-112.36013071895425, 41.23517786561265
-112.38104575163399, 41.233201581027664
-112.3967320261438, 41.22134387351778
-112.41764705882353, 41.21146245059288
-112.43594771241831, 41.209486166007906
-112.45686274509805, 41.21146245059288
-112.47777777777779, 41.223320158102766
-112.48823529411766, 41.23913043478261
-112.49869281045753, 41.26086956521739
-112.50653594771242, 41.276679841897234
-112.50653594771242, 41.308300395256914
-112.50392156862746, 41.330039525691696
-112.51699346405229, 41.35177865612648
-112.53790849673203, 41.369565217391305
-112.55359477124183, 41.38537549407114
-112.5640522875817, 41.40711462450593
-112.56928104575164, 41.42094861660079
-112.59542483660131, 41.42094861660079
-112.61372549019609, 41.42094861660079
-112.62941176470589, 41.42885375494071
-112.64771241830066, 41.440711462450594
-112.66339869281046, 41.44664031620553
-112.68169934640524, 41.45454545454545
-112.7, 41.46442687747035
-112.71045751633987, 41.47826086956521
-112.72352941176472, 41.494071146245055
-112.73921568627452, 41.50395256916996
-112.75490196078432, 41.51778656126482
-112.76274509803922, 41.537549407114625
-112.77320261437909, 41.55335968379446
-112.77843137254902, 41.57707509881423
-112.77843137254902, 41.59683794466403
-112.78627450980393, 41.608695652173914
-112.78366013071896, 41.63241106719367
-112.77320261437909, 41.65217391304348
-112.76013071895426, 41.66798418972332
-112.77320261437909, 41.679841897233196
-112.8045751633987, 41.67588932806324
-112.82549019607843, 41.67391304347826
-112.85686274509804, 41.6699604743083
-112.88300653594771, 41.662055335968375
-112.90130718954249, 41.648221343873516
-112.91960784313726, 41.62845849802371
-112.92222222222223, 41.60474308300395
-112.91960784313726, 41.58893280632411
-112.92222222222223, 41.57509881422925
-112.93790849673204, 41.565217391304344
-112.94575163398693, 41.55335968379446
-112.95098039215686, 41.533596837944664
-112.95359477124184, 41.51383399209486
-112.95359477124184, 41.49209486166008
-112.95098039215686, 41.476284584980235
-112.940522875817, 41.46047430830039
-112.94575163398693, 41.44268774703557
-112.940522875817, 41.415019762845844
-112.9326797385621, 41.39920948616601
-112.92483660130719, 41.38142292490118
-112.91176470588236, 41.36166007905138
-112.90653594771243, 41.35375494071146
-112.91176470588236, 41.3399209486166
-112.90130718954249, 41.32806324110672
-112.87777777777778, 41.30632411067194
-112.86209150326798, 41.29644268774703
-112.85424836601308, 41.276679841897234
-112.84117647058824, 41.26086956521739
-112.8202614379085, 41.247035573122524
-112.81764705882354, 41.223320158102766
-112.8045751633987, 41.19762845849802
-112.781045751634, 41.179841897233196
-112.76797385620915, 41.16403162055336
-112.76274509803922, 41.140316205533594
-112.76274509803922, 41.12252964426877
-112.76274509803922, 41.09288537549407
-112.76013071895426, 41.073122529644266
-112.75751633986928, 41.0494071146245
-112.74444444444445, 41.02766798418972
-112.72875816993465, 41.01581027667984
-112.7156862745098, 41.00197628458498
-112.70522875816994, 40.98616600790513
-112.69215686274511, 40.972332015810274
-112.67908496732026, 40.966403162055336
-112.6764705882353, 40.994071146245055
-112.6686274509804, 41.01581027667984
-112.65294117647059, 41.03162055335968
-112.63986928104576, 41.05335968379446
-112.62679738562092, 41.073122529644266
-112.60849673202615, 41.08498023715415
-112.5797385620915, 41.08498023715415
-112.56928104575164, 41.069169960474305
-112.56143790849674, 41.047430830039524
-112.54313725490196, 41.0296442687747
